Compounds	Sol
sol_10001	-3.1800000667572
sol_10002	-2.64000010490417
sol_10003	-3.83999991416931
sol_10004	-3.74000000953674
sol_10005	-3.54999995231628
sol_10006	-3.09999990463257
sol_10007	-3.29999995231628
sol_10008	-4.53000020980835
sol_10009	-3.84999990463257
sol_10010	-5.23999977111816
sol_10011	-3.51999998092651
sol_10012	-4.15000009536743
sol_10013	-2.53999996185303
sol_10014	-2.09999990463257
sol_10015	-3.23000001907349
sol_10016	-3.24000000953674
sol_10017	-3.8199999332428
sol_10018	-3.26999998092651
sol_10019	-4.44000005722046
sol_10020	-5.05000019073486
sol_10021	-2.6800000667572
sol_10022	-2.02999997138977
sol_10023	-1.87000000476837
sol_10024	-1.97000002861023
sol_10025	-4
sol_10026	-1.63999998569489
sol_10027	-2.35999989509583
sol_10028	-3.00999999046326
sol_10029	-4.23999977111816
sol_10030	-1.63999998569489
sol_10031	-2.21000003814697
sol_10032	-2.79999995231628
sol_10033	-2.76999998092651
sol_10034	-2.8199999332428
sol_10035	-3.36999988555908
sol_10036	-3.30999994277954
sol_10037	-3.20000004768372
sol_10038	-3.21000003814697
sol_10039	-3.10999989509583
sol_10040	-3.26999998092651
sol_10041	-4.05999994277954
sol_10042	-3.75
sol_10043	-3.76999998092651
sol_10044	-3.66000008583069
sol_10045	-3.89000010490417
sol_10046	-4
sol_10047	-4.6399998664856
sol_10048	-4.15000009536743
sol_10049	-2.8199999332428
sol_10050	-4.30999994277954
sol_10051	-4.17000007629395
sol_10052	-4.90999984741211
sol_10053	-5.21999979019165
sol_10054	-3.59999990463257
sol_10055	-3.76999998092651
sol_10056	-3.70000004768372
sol_10057	-4.28999996185303
sol_10058	-4.73999977111816
sol_10059	-4.71999979019165
sol_10060	-3.96000003814697
sol_10061	-4.1399998664856
sol_10062	-4.8899998664856
sol_10063	-4.63000011444092
sol_10064	-4.92000007629395
sol_10065	-5.26000022888184
sol_10066	-5.8899998664856
sol_10067	-6.96000003814697
sol_10068	-6.19000005722046
sol_10069	-6
sol_10070	-5.96000003814697
sol_10071	-6.67999982833862
sol_10072	-8.03999996185303
sol_10073	-6.73999977111816
sol_10074	-8.1899995803833
sol_10075	-7.01999998092651
sol_10076	-7.80000019073486
sol_10077	-8.80000019073486
sol_10078	-9.02999973297119
sol_10079	-4.96999979019165
sol_10080	-4.38000011444092
sol_10081	-7.42000007629395
sol_10082	-3.67000007629395
sol_10083	-4.21999979019165
sol_10084	-5.17000007629395
sol_10085	-6.8899998664856
sol_10086	-8.22999954223633
sol_10087	-8
sol_10088	-8.48999977111816
sol_10089	-8.65999984741211
sol_10090	-1
sol_10091	-0.629999995231628
sol_10092	-0.889999985694885
sol_10093	-1.16999995708466
sol_10094	-1.53999996185303
sol_10095	-1.89999997615814
sol_10096	-1.9099999666214
sol_10097	-3.14000010490417
sol_10098	-1.0900000333786
sol_10099	-1.60000002384186
sol_10100	-1.28999996185303
sol_10101	-1.32000005245209
sol_10102	-1.67999994754791
sol_10103	-2
sol_10104	-1.48000001907349
sol_10105	-2.1800000667572
sol_10106	-2.59999990463257
sol_10107	-3.03999996185303
sol_10108	-3.67000007629395
sol_10109	-1.4099999666214
sol_10110	-1.73000001907349
sol_10111	-1.5900000333786
sol_10112	-2.28999996185303
sol_10113	-1.62000000476837
sol_10114	-1.60000002384186
sol_10115	-1.85000002384186
sol_10116	-2.07999992370605
sol_10117	-2.38000011444092
sol_10118	-1.91999995708466
sol_10119	-2.02999997138977
sol_10120	-1.96000003814697
sol_10121	-2.96000003814697
sol_10122	-2
sol_10123	-2.4300000667572
sol_10124	-2.40000009536743
sol_10125	-2.73000001907349
sol_10126	-2.63000011444092
sol_10127	-2.63000011444092
sol_10128	-2.50999999046326
sol_10129	-2.69000005722046
sol_10130	-3.11999988555908
sol_10131	-3.0699999332428
sol_10132	-3.80999994277954
sol_10133	-2.29999995231628
sol_10134	-1.71000003814697
sol_10135	-3.11999988555908
sol_10136	-4.59000015258789
sol_10137	-3.99000000953674
sol_10138	-4.80999994277954
sol_10139	-1.63999998569489
sol_10140	-1.29999995231628
sol_10141	-3.22000002861023
sol_10142	-1.96000003814697
sol_10143	-2.53999996185303
sol_10144	-1.36000001430511
sol_10145	-6.28999996185303
sol_10146	-7.32999992370605
sol_10147	-6.17999982833862
sol_10148	-1.5
sol_10149	-5.17999982833862
sol_10150	-4.23000001907349
sol_10151	-1.79999995231628
sol_10152	-2.38000011444092
